# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	9734
#@/user_id	xgh-macpro
dai 	代	c=1 d=1.43406e-06 t=9734
dai 	帶	c=3 d=0.445181 t=9734
dai 	待	c=0 d=1.60911e-09 t=9734
dai 	戴	c=1 d=4.40582e-05 t=9734
dai biao 	代表	c=0 d=4.07691e-05 t=9734
dai kuan 	貸款	c=1 d=4.45161e-09 t=9734
dai li 	代理	c=2 d=4.6069e-13 t=9734
dai ling 	帶領	c=1 d=1.62081e-05 t=9734
dai ma 	代碼	c=16 d=0.785364 t=9734
dai ma kuai 	代碼塊	c=1 d=0.554327 t=9734
dai ma liang 	代碼量	c=1 d=0.43171 t=9734
dai ni wai 	待膩歪	c=1 d=1.61717e-08 t=9734
dai wo 	帶我	c=1 d=7.50456e-06 t=9734
dai yu 	待遇	c=4 d=1.10574e-06 t=9734
dan 	但	c=12 d=5.02844e-07 t=9734
dan 	單	c=2 d=2.07385e-13 t=9734
dan 	蛋	c=0 d=1.84231e-13 t=9734
dan ji 	單機	c=2 d=0.321395 t=9734
dan jing du 	單精度	c=5 d=0.000484938 t=9734
dan shen 	單身	c=1 d=1.03098e-06 t=9734
dan shen han 	單身漢	c=1 d=3.75695e-13 t=9734
dan shi 	但是	c=14 d=0.18485 t=9734
dan teng 	但疼	c=1 d=0.000599149 t=9734
dan teng 	蛋疼	c=2 d=0.00175822 t=9734
dan wei 	單位	c=2 d=7.08582e-07 t=9734
dan xin 	擔心	c=1 d=0.00690852 t=9734
dan xiu 	單修	c=3 d=0.111492 t=9734
dan yuan 	單元	c=3 d=0.56836 t=9734
dang 	當	c=3 d=0.000120363 t=9734
dang 	黨	c=1 d=2.81071e-11 t=9734
dang dang 	噹噹	c=3 d=0.0793822 t=9734
dang dang wang 	噹噹網	c=1 d=0.0685632 t=9734
dang hao 	當好	c=1 d=6.68931e-06 t=9734
dang jia 	當家	c=4 d=6.62417e-07 t=9734
dang ni 	當你	c=1 d=5.42225e-06 t=9734
dang nian 	當年	c=2 d=0.00712112 t=9734
dang ran 	當然	c=6 d=0.1388 t=9734
dang shi 	當時	c=4 d=0.011368 t=9734
dao 	刀	c=1 d=7.19291e-07 t=9734
dao 	到	c=23 d=0.724158 t=9734
dao di 	到底	c=1 d=1.59283e-06 t=9734
dao hang 	導航	c=6 d=0.053273 t=9734
dao huo 	到貨	c=1 d=2.71357e-09 t=9734
dao le 	到了	c=0 d=3.06799e-13 t=9734
dao lun 	導論	c=2 d=0.000269307 t=9734
dao na 	到哪	c=0 d=3.12996e-13 t=9734
dao na le 	到哪了	c=1 d=3.14565e-12 t=9734
dao ru 	導入	c=2 d=0.00192082 t=9734
dao shou 	到手	c=1 d=0.382893 t=9734
dao xiang 	導向	c=1 d=0.000916453 t=9734
dao zhi 	導致	c=1 d=0.0132336 t=9734
de 	得	c=1 d=1.21635e-10 t=9734
de 	德	c=0 d=0.00254765 t=9734
de 	的	c=384 d=8.97033 t=9734
de dao 	得到	c=1 d=0.427415 t=9734
de kuai 	得快	c=0 d=2.41254e-09 t=9734
de ma xi ya 	德瑪西亞	c=1 d=0.0256041 t=9734
de xin ying shou 	得心應手	c=1 d=0.0225956 t=9734
dei 	得	c=8 d=0.486752 t=9734
deng 	登	c=1 d=3.95979e-14 t=9734
deng 	等	c=10 d=0.682973 t=9734
deng chu 	登出	c=2 d=1.20194e-09 t=9734
deng lu 	登錄	c=9 d=0.00121133 t=9734
deng lu tui chu 	登錄退出	c=1 d=0.0121552 t=9734
deng ru 	登入	c=2 d=1.18998e-09 t=9734
deng ta 	等他	c=1 d=0.00822975 t=9734
deng tong yu 	等同於	c=1 d=1.52746e-13 t=9734
deng xiao ping 	鄧小平	c=1 d=0.946486 t=9734
deng yu 	等於	c=1 d=5.25199e-13 t=9734
di 	低	c=0 d=1.30073e-06 t=9734
di 	地	c=1 d=6.14421e-06 t=9734
di 	第	c=8 d=0.0136973 t=9734
di ceng 	底層	c=1 d=1.73833e-05 t=9734
di di 	嘀嘀	c=2 d=1.18313 t=9734
di duan 	地段	c=1 d=3.61775e-10 t=9734
di er 	第二	c=0 d=1.93677e-13 t=9734
di er fen 	第二份	c=1 d=1.94648e-12 t=9734
di er ji 	第二季	c=2 d=5.89668e-14 t=9734
di fang 	地方	c=2 d=1.26317e-09 t=9734
di gui 	遞歸	c=3 d=7.12338e-07 t=9734
di pei ban 	低配版	c=2 d=0.063299 t=9734
